id,fake-company-name,company-email
"1","Gruber Haupt AG","henkel.nathalie@glaser.net"
"2","Mertens","andreas08@wegener.net"
"3","Seidel","tbach@jung.com"
"4","Neuhaus AG","jennifer.lorenz@klemm.com"
"5","Hauser e.G.","kornelia20@lang.de"
"6","Jacob","birgitt.winkler@brandl.de"
"7","Bock Nolte Stiftung & Co. KG","wegener.antje@fritz.com"
"8","Seidel","miriam71@schramm.com"
"9","Paul","peters.christian@brenner.de"
"10","Eckert Stiftung & Co. KGaA","centa19@bruns.net"
"11","Heim GmbH","simona.esser@moritz.com"
"12","Hinz Brückner GmbH & Co. KG","natascha68@hecht.com"
"13","Menzel","wulf.christ@wiesner.org"
"14","Menzel Breuer KG","ismail.scharf@rauch.de"
"15","Friedrich","nfleischmann@christ.de"
